sensor,date,recorded
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 2:45:37 PM,242
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 2:49:38 PM,
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 2:53:38 PM,8
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 2:57:38 PM,2
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 3:01:38 PM,6
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 3:05:38 PM,8
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 3:09:38 PM,0
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 3:13:38 PM,2
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 3:17:38 PM,5
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 3:21:38 PM,8
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 3:25:38 PM,3
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 3:29:38 PM,8
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 3:33:38 PM,14
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 3:37:38 PM,22
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 3:41:38 PM,26
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 3:45:38 PM,31
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 3:49:38 PM,33
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 3:53:38 PM,40
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 3:57:38 PM,43
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 4:01:38 PM,46
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 4:05:38 PM,49
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 4:09:38 PM,52
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 4:13:38 PM,55
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 4:17:38 PM,57
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 4:21:38 PM,58
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 4:25:38 PM,61
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 4:29:38 PM,65
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 4:33:38 PM,67
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 4:37:38 PM,69
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 4:45:38 PM,71
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 4:49:38 PM,74
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 4:53:38 PM,77
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 4:57:38 PM,78
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 5:01:38 PM,79
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 5:05:38 PM,80
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 5:09:38 PM,81
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 5:17:38 PM,83
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 5:21:38 PM,84
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 5:41:38 PM,85
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 5:45:38 PM,86
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 5:49:38 PM,84
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 5:53:38 PM,83
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 5:57:38 PM,82
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 6:01:38 PM,80
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 6:05:38 PM,79
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 6:09:38 PM,78
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 6:13:38 PM,77
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 6:17:38 PM,58
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 6:21:38 PM,65
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 6:25:38 PM,63
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 6:29:38 PM,62
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 6:33:38 PM,33
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 6:41:38 PM,5
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 6:45:38 PM,506
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 6:49:38 PM,357
ms_p2:sensormultilevel::luminositysensor:, 4/2/2016 6:53:38 PM,201
