sensor,date,recorded
dws1_p5:sensor:, 4/1/2016 9:34:38 AM,255
dws1_p5:sensor:, 4/1/2016 9:34:44 AM,0
dws1_p5:sensor:, 4/1/2016 1:15:24 PM,255
dws1_p5:sensor:, 4/1/2016 1:15:30 PM,0
dws1_p5:sensor:, 4/1/2016 5:07:49 PM,255
dws1_p5:sensor:, 4/1/2016 5:07:53 PM,0
dws1_p5:sensor:, 4/1/2016 7:24:58 PM,255
dws1_p5:sensor:, 4/1/2016 7:25:05 PM,0
dws1_p5:sensor:, 4/2/2016 10:14:46 AM,255
dws1_p5:sensor:, 4/2/2016 10:15:09 AM,0
dws1_p5:sensor:, 4/2/2016 3:01:10 PM,255
dws1_p5:sensor:, 4/2/2016 3:01:21 PM,0
dws1_p5:sensor:, 4/2/2016 6:48:38 PM,255
dws1_p5:sensor:, 4/2/2016 6:48:56 PM,0
dws1_p5:sensor:, 4/2/2016 7:28:06 PM,255
dws1_p5:sensor:, 4/2/2016 7:28:11 PM,0
dws1_p5:sensor:, 4/3/2016 10:27:17 AM,255
dws1_p5:sensor:, 4/3/2016 10:27:21 AM,0
dws1_p5:sensor:, 4/3/2016 11:01:09 AM,255
dws1_p5:sensor:, 4/3/2016 11:01:16 AM,0
dws1_p5:sensor:, 4/3/2016 11:23:45 AM,255
dws1_p5:sensor:, 4/3/2016 11:23:55 AM,0
dws1_p5:sensor:, 4/3/2016 12:48:40 PM,255
dws1_p5:sensor:, 4/3/2016 12:48:56 PM,0
dws1_p5:sensor:, 4/3/2016 3:54:25 PM,255
dws1_p5:sensor:, 4/3/2016 4:56:17 PM,0
dws1_p5:sensor:, 4/3/2016 4:57:49 PM,255
dws1_p5:sensor:, 4/3/2016 4:57:53 PM,0
dws1_p5:sensor:, 4/3/2016 6:35:12 PM,255
dws1_p5:sensor:, 4/3/2016 6:35:17 PM,0
dws1_p5:sensor:, 4/4/2016 11:03:11 AM,255
dws1_p5:sensor:, 4/4/2016 11:03:16 AM,0
dws1_p5:sensor:, 4/4/2016 11:29:07 AM,255
dws1_p5:sensor:, 4/4/2016 12:34:50 PM,0
dws1_p5:sensor:, 4/4/2016 1:40:18 PM,255
dws2_p5:sensor:, 3/31/2016 6:14:27 PM,255
dws2_p5:sensor:, 3/31/2016 6:14:36 PM,0
dws2_p5:sensor:, 4/1/2016 7:38:21 AM,255
dws2_p5:sensor:, 4/1/2016 7:38:28 AM,0
dws2_p5:sensor:, 4/1/2016 7:50:13 AM,255
dws2_p5:sensor:, 4/1/2016 7:50:35 AM,0
dws2_p5:sensor:, 4/1/2016 7:53:42 AM,255
dws2_p5:sensor:, 4/1/2016 7:53:49 AM,0
dws2_p5:sensor:, 4/1/2016 1:25:20 PM,255
dws2_p5:sensor:, 4/1/2016 1:25:24 PM,0
dws2_p5:sensor:, 4/1/2016 1:44:55 PM,255
dws2_p5:sensor:, 4/1/2016 1:45:03 PM,0
dws2_p5:sensor:, 4/1/2016 1:46:35 PM,255
dws2_p5:sensor:, 4/1/2016 1:46:38 PM,0
dws2_p5:sensor:, 4/1/2016 1:51:43 PM,255
dws2_p5:sensor:, 4/1/2016 1:51:47 PM,0
dws2_p5:sensor:, 4/1/2016 1:57:49 PM,255
dws2_p5:sensor:, 4/1/2016 1:57:55 PM,0
dws2_p5:sensor:, 4/1/2016 1:58:36 PM,255
dws2_p5:sensor:, 4/1/2016 1:58:43 PM,0
dws2_p5:sensor:, 4/1/2016 1:59:26 PM,255
dws2_p5:sensor:, 4/1/2016 1:59:33 PM,0
dws2_p5:sensor:, 4/1/2016 2:01:00 PM,255
dws2_p5:sensor:, 4/1/2016 2:01:04 PM,0
dws2_p5:sensor:, 4/1/2016 7:26:44 PM,255
dws2_p5:sensor:, 4/1/2016 7:26:51 PM,0
dws2_p5:sensor:, 4/1/2016 7:54:56 PM,255
dws2_p5:sensor:, 4/1/2016 7:55:00 PM,0
dws2_p5:sensor:, 4/2/2016 6:47:27 AM,255
dws2_p5:sensor:, 4/2/2016 6:47:30 AM,0
dws2_p5:sensor:, 4/2/2016 8:11:10 AM,255
dws2_p5:sensor:, 4/2/2016 8:11:13 AM,0
dws2_p5:sensor:, 4/2/2016 8:11:29 AM,255
dws2_p5:sensor:, 4/2/2016 8:11:54 AM,0
dws2_p5:sensor:, 4/2/2016 8:11:55 AM,255
dws2_p5:sensor:, 4/2/2016 8:11:59 AM,0
dws2_p5:sensor:, 4/2/2016 8:33:30 AM,255
dws2_p5:sensor:, 4/2/2016 8:33:35 AM,0
dws2_p5:sensor:, 4/2/2016 10:12:40 AM,255
dws2_p5:sensor:, 4/2/2016 10:13:06 AM,0
dws2_p5:sensor:, 4/2/2016 3:18:05 PM,255
dws2_p5:sensor:, 4/2/2016 3:18:12 PM,0
dws2_p5:sensor:, 4/2/2016 4:38:00 PM,255
dws2_p5:sensor:, 4/2/2016 4:38:17 PM,0
dws2_p5:sensor:, 4/2/2016 4:53:14 PM,255
dws2_p5:sensor:, 4/2/2016 4:53:30 PM,0
dws2_p5:sensor:, 4/2/2016 4:57:35 PM,255
dws2_p5:sensor:, 4/2/2016 4:57:39 PM,0
dws2_p5:sensor:, 4/2/2016 5:01:27 PM,255
dws2_p5:sensor:, 4/2/2016 5:01:47 PM,0
dws2_p5:sensor:, 4/2/2016 5:08:15 PM,255
dws2_p5:sensor:, 4/2/2016 5:08:24 PM,0
dws2_p5:sensor:, 4/2/2016 5:08:31 PM,255
dws2_p5:sensor:, 4/2/2016 5:08:42 PM,0
dws2_p5:sensor:, 4/2/2016 5:14:09 PM,255
dws2_p5:sensor:, 4/2/2016 5:14:24 PM,0
dws2_p5:sensor:, 4/2/2016 5:23:51 PM,255
dws2_p5:sensor:, 4/2/2016 5:23:59 PM,0
dws2_p5:sensor:, 4/2/2016 6:40:29 PM,255
dws2_p5:sensor:, 4/2/2016 6:40:35 PM,0
dws2_p5:sensor:, 4/3/2016 9:15:27 AM,255
dws2_p5:sensor:, 4/3/2016 9:15:36 AM,0
dws2_p5:sensor:, 4/3/2016 9:18:18 AM,255
dws2_p5:sensor:, 4/3/2016 9:18:21 AM,0
dws2_p5:sensor:, 4/3/2016 9:27:31 AM,255
dws2_p5:sensor:, 4/3/2016 9:27:46 AM,0
dws2_p5:sensor:, 4/3/2016 9:37:22 AM,255
dws2_p5:sensor:, 4/3/2016 9:37:36 AM,0
dws2_p5:sensor:, 4/3/2016 11:17:48 AM,255
dws2_p5:sensor:, 4/3/2016 11:17:51 AM,0
dws2_p5:sensor:, 4/3/2016 11:21:05 AM,255
dws2_p5:sensor:, 4/3/2016 12:51:30 PM,0
dws2_p5:sensor:, 4/3/2016 1:03:09 PM,255
dws2_p5:sensor:, 4/3/2016 1:03:28 PM,0
dws2_p5:sensor:, 4/3/2016 1:03:32 PM,255
dws2_p5:sensor:, 4/3/2016 1:03:35 PM,0
dws2_p5:sensor:, 4/3/2016 1:04:30 PM,255
dws2_p5:sensor:, 4/3/2016 1:04:35 PM,0
dws2_p5:sensor:, 4/3/2016 2:24:23 PM,255
dws2_p5:sensor:, 4/3/2016 2:24:37 PM,0
dws2_p5:sensor:, 4/3/2016 2:24:39 PM,255
dws2_p5:sensor:, 4/3/2016 2:24:46 PM,0
dws2_p5:sensor:, 4/3/2016 4:18:28 PM,255
dws2_p5:sensor:, 4/3/2016 4:18:33 PM,0
dws2_p5:sensor:, 4/3/2016 6:49:27 PM,255
dws2_p5:sensor:, 4/3/2016 6:49:47 PM,0
dws2_p5:sensor:, 4/3/2016 7:01:57 PM,255
dws2_p5:sensor:, 4/3/2016 7:02:08 PM,0
dws2_p5:sensor:, 4/3/2016 7:02:08 PM,255
dws2_p5:sensor:, 4/3/2016 7:02:10 PM,0
dws2_p5:sensor:, 4/4/2016 9:12:53 AM,255
dws2_p5:sensor:, 4/4/2016 9:13:01 AM,0
dws2_p5:sensor:, 4/4/2016 9:20:58 AM,255
dws2_p5:sensor:, 4/4/2016 9:21:02 AM,0
dws2_p5:sensor:, 4/4/2016 9:28:36 AM,255
dws2_p5:sensor:, 4/4/2016 9:28:48 AM,0
dws2_p5:sensor:, 4/4/2016 9:29:02 AM,255
dws2_p5:sensor:, 4/4/2016 9:29:11 AM,0
