sensor,date,recorded
ms_p4:sensor:, 4/1/2016 9:16:20 AM,255
ms_p4:sensor:, 4/1/2016 9:16:22 AM,0
ms_p4:sensor:, 4/1/2016 9:17:17 AM,255
ms_p4:sensor:, 4/1/2016 9:17:18 AM,0
ms_p4:sensor:, 4/1/2016 9:17:30 AM,255
ms_p4:sensor:, 4/1/2016 9:17:32 AM,0
ms_p4:sensor:, 4/1/2016 9:17:44 AM,255
ms_p4:sensor:, 4/1/2016 9:17:46 AM,0
ms_p4:sensor:, 4/1/2016 9:17:58 AM,255
ms_p4:sensor:, 4/1/2016 9:18:00 AM,0
ms_p4:sensor:, 4/1/2016 9:18:12 AM,255
ms_p4:sensor:, 4/1/2016 9:18:14 AM,0
ms_p4:sensor:, 4/1/2016 9:18:38 AM,255
ms_p4:sensor:, 4/1/2016 9:18:39 AM,0
ms_p4:sensor:, 4/1/2016 9:19:05 AM,255
ms_p4:sensor:, 4/1/2016 9:19:07 AM,0
ms_p4:sensor:, 4/1/2016 9:19:20 AM,255
ms_p4:sensor:, 4/1/2016 9:19:22 AM,0
ms_p4:sensor:, 4/1/2016 9:19:46 AM,255
ms_p4:sensor:, 4/1/2016 9:19:48 AM,0
ms_p4:sensor:, 4/1/2016 9:20:10 AM,255
ms_p4:sensor:, 4/1/2016 9:20:12 AM,0
ms_p4:sensor:, 4/1/2016 9:20:24 AM,255
ms_p4:sensor:, 4/1/2016 9:20:25 AM,0
ms_p4:sensor:, 4/1/2016 9:20:38 AM,255
ms_p4:sensor:, 4/1/2016 9:20:39 AM,0
ms_p4:sensor:, 4/1/2016 9:20:57 AM,255
ms_p4:sensor:, 4/1/2016 9:20:58 AM,0
ms_p4:sensor:, 4/1/2016 9:21:11 AM,255
ms_p4:sensor:, 4/1/2016 9:21:12 AM,0
ms_p4:sensor:, 4/1/2016 9:21:25 AM,255
ms_p4:sensor:, 4/1/2016 9:21:27 AM,0
ms_p4:sensor:, 4/1/2016 9:21:39 AM,255
ms_p4:sensor:, 4/1/2016 9:21:41 AM,0
ms_p4:sensor:, 4/1/2016 9:21:55 AM,255
ms_p4:sensor:, 4/1/2016 9:21:56 AM,0
ms_p4:sensor:, 4/1/2016 9:22:20 AM,255
ms_p4:sensor:, 4/1/2016 9:22:21 AM,0
ms_p4:sensor:, 4/1/2016 9:22:47 AM,255
ms_p4:sensor:, 4/1/2016 9:22:48 AM,0
ms_p4:sensor:, 4/1/2016 9:23:07 AM,255
ms_p4:sensor:, 4/1/2016 9:23:08 AM,0
ms_p4:sensor:, 4/1/2016 9:23:50 AM,255
ms_p4:sensor:, 4/1/2016 9:23:52 AM,0
ms_p4:sensor:, 4/1/2016 9:24:06 AM,255
ms_p4:sensor:, 4/1/2016 9:24:08 AM,0
ms_p4:sensor:, 4/1/2016 9:24:42 AM,255
ms_p4:sensor:, 4/1/2016 9:24:44 AM,0
ms_p4:sensor:, 4/1/2016 9:25:35 AM,255
ms_p4:sensor:, 4/1/2016 9:25:37 AM,0
ms_p4:sensor:, 4/1/2016 9:26:05 AM,255
ms_p4:sensor:, 4/1/2016 9:26:07 AM,0
ms_p4:sensor:, 4/1/2016 9:38:16 AM,255
ms_p4:sensor:, 4/1/2016 9:38:18 AM,0
ms_p4:sensor:, 4/1/2016 9:38:35 AM,255
ms_p4:sensor:, 4/1/2016 9:38:37 AM,0
ms_p4:sensor:, 4/1/2016 9:39:39 AM,255
ms_p4:sensor:, 4/1/2016 9:39:41 AM,0
ms_p4:sensor:, 4/1/2016 9:41:57 AM,255
ms_p4:sensor:, 4/1/2016 9:41:59 AM,0
ms_p4:sensor:, 4/1/2016 9:42:21 AM,255
ms_p4:sensor:, 4/1/2016 9:42:23 AM,0
ms_p4:sensor:, 4/1/2016 9:44:07 AM,255
ms_p4:sensor:, 4/1/2016 9:44:08 AM,0
ms_p4:sensor:, 4/1/2016 9:44:27 AM,255
ms_p4:sensor:, 4/1/2016 9:44:29 AM,0
ms_p4:sensor:, 4/1/2016 9:46:08 AM,255
ms_p4:sensor:, 4/1/2016 9:46:09 AM,0
ms_p4:sensor:, 4/1/2016 9:46:54 AM,255
ms_p4:sensor:, 4/1/2016 9:46:56 AM,0
ms_p4:sensor:, 4/1/2016 9:47:09 AM,255
ms_p4:sensor:, 4/1/2016 9:47:11 AM,0
ms_p4:sensor:, 4/1/2016 9:48:33 AM,255
ms_p4:sensor:, 4/1/2016 9:48:34 AM,0
ms_p4:sensor:, 4/1/2016 9:51:49 AM,255
ms_p4:sensor:, 4/1/2016 9:51:50 AM,0
ms_p4:sensor:, 4/1/2016 9:53:08 AM,255
ms_p4:sensor:, 4/1/2016 9:53:11 AM,0
ms_p4:sensor:, 4/1/2016 10:56:28 AM,255
ms_p4:sensor:, 4/1/2016 10:56:30 AM,0
ms_p4:sensor:, 4/1/2016 10:56:55 AM,255
ms_p4:sensor:, 4/1/2016 10:56:57 AM,0
ms_p4:sensor:, 4/1/2016 11:06:48 AM,255
ms_p4:sensor:, 4/1/2016 11:06:50 AM,0
ms_p4:sensor:, 4/1/2016 11:38:09 AM,255
ms_p4:sensor:, 4/1/2016 11:38:11 AM,0
ms_p4:sensor:, 4/1/2016 11:40:34 AM,255
ms_p4:sensor:, 4/1/2016 11:40:37 AM,0
ms_p4:sensor:, 4/1/2016 11:52:54 AM,255
ms_p4:sensor:, 4/1/2016 11:52:57 AM,0
ms_p4:sensor:, 4/1/2016 11:53:21 AM,255
ms_p4:sensor:, 4/1/2016 11:53:23 AM,0
ms_p4:sensor:, 4/1/2016 11:54:33 AM,255
ms_p4:sensor:, 4/1/2016 11:54:36 AM,0
ms_p4:sensor:, 4/1/2016 11:54:49 AM,255
ms_p4:sensor:, 4/1/2016 11:54:51 AM,0
ms_p4:sensor:, 4/1/2016 12:10:06 PM,255
ms_p4:sensor:, 4/1/2016 12:10:09 PM,0
ms_p4:sensor:, 4/1/2016 12:10:34 PM,255
ms_p4:sensor:, 4/1/2016 12:10:36 PM,0
ms_p4:sensor:, 4/1/2016 12:10:49 PM,255
ms_p4:sensor:, 4/1/2016 12:10:51 PM,0
ms_p4:sensor:, 4/1/2016 2:19:48 PM,255
ms_p4:sensor:, 4/1/2016 2:19:50 PM,0
ms_p4:sensor:, 4/1/2016 2:20:02 PM,255
ms_p4:sensor:, 4/1/2016 2:20:04 PM,0
ms_p4:sensor:, 4/1/2016 2:20:21 PM,255
ms_p4:sensor:, 4/1/2016 2:20:22 PM,0
ms_p4:sensor:, 4/1/2016 2:21:51 PM,255
ms_p4:sensor:, 4/1/2016 2:21:53 PM,0
ms_p4:sensor:, 4/1/2016 2:22:25 PM,255
ms_p4:sensor:, 4/1/2016 2:22:27 PM,0
ms_p4:sensor:, 4/1/2016 2:28:08 PM,255
ms_p4:sensor:, 4/1/2016 2:28:10 PM,0
ms_p4:sensor:, 4/1/2016 2:30:03 PM,255
ms_p4:sensor:, 4/1/2016 2:30:04 PM,0
ms_p4:sensor:, 4/1/2016 2:30:33 PM,255
ms_p4:sensor:, 4/1/2016 2:30:35 PM,0
ms_p4:sensor:, 4/1/2016 2:33:00 PM,255
ms_p4:sensor:, 4/1/2016 2:33:02 PM,0
ms_p4:sensor:, 4/1/2016 2:33:15 PM,255
ms_p4:sensor:, 4/1/2016 2:33:16 PM,0
ms_p4:sensor:, 4/1/2016 2:35:34 PM,255
ms_p4:sensor:, 4/1/2016 2:35:36 PM,0
ms_p4:sensor:, 4/1/2016 2:38:10 PM,255
ms_p4:sensor:, 4/1/2016 2:38:11 PM,0
ms_p4:sensor:, 4/1/2016 2:40:19 PM,255
ms_p4:sensor:, 4/1/2016 2:40:21 PM,0
ms_p4:sensor:, 4/1/2016 2:40:35 PM,255
ms_p4:sensor:, 4/1/2016 2:40:37 PM,0
ms_p4:sensor:, 4/1/2016 2:45:56 PM,255
ms_p4:sensor:, 4/1/2016 2:45:59 PM,0
ms_p4:sensor:, 4/1/2016 2:50:16 PM,255
ms_p4:sensor:, 4/1/2016 2:50:18 PM,0
ms_p4:sensor:, 4/1/2016 2:53:47 PM,255
ms_p4:sensor:, 4/1/2016 2:53:49 PM,0
ms_p4:sensor:, 4/1/2016 2:55:07 PM,255
ms_p4:sensor:, 4/1/2016 2:55:09 PM,0
ms_p4:sensor:, 4/1/2016 2:57:38 PM,255
ms_p4:sensor:, 4/1/2016 2:57:40 PM,0
ms_p4:sensor:, 4/1/2016 2:58:25 PM,255
ms_p4:sensor:, 4/1/2016 2:58:27 PM,0
ms_p4:sensor:, 4/1/2016 3:02:43 PM,255
ms_p4:sensor:, 4/1/2016 3:02:46 PM,0
ms_p4:sensor:, 4/1/2016 3:03:00 PM,255
ms_p4:sensor:, 4/1/2016 3:03:01 PM,0
ms_p4:sensor:, 4/1/2016 3:07:25 PM,255
ms_p4:sensor:, 4/1/2016 3:07:28 PM,0
ms_p4:sensor:, 4/1/2016 3:07:51 PM,255
ms_p4:sensor:, 4/1/2016 3:07:54 PM,0
ms_p4:sensor:, 4/1/2016 3:08:12 PM,255
ms_p4:sensor:, 4/1/2016 3:08:14 PM,0
ms_p4:sensor:, 4/1/2016 3:09:19 PM,255
ms_p4:sensor:, 4/1/2016 3:09:22 PM,0
ms_p4:sensor:, 4/1/2016 3:09:41 PM,255
ms_p4:sensor:, 4/1/2016 3:09:43 PM,0
ms_p4:sensor:, 4/1/2016 3:10:22 PM,255
ms_p4:sensor:, 4/1/2016 3:10:24 PM,0
ms_p4:sensor:, 4/1/2016 3:10:43 PM,255
ms_p4:sensor:, 4/1/2016 3:10:46 PM,0
ms_p4:sensor:, 4/1/2016 3:11:18 PM,255
ms_p4:sensor:, 4/1/2016 3:11:21 PM,0
ms_p4:sensor:, 4/1/2016 3:12:16 PM,255
ms_p4:sensor:, 4/1/2016 3:12:19 PM,0
